id,name_en,name_hans,name_hant,name_jp
1,Master Ball,大师球,大師球,マスターボール
2,Ultra Ball,高级球,高級球,ハイパーボール
3,Great Ball,超级球,超級球,スーパーボール
4,Poké Ball,精灵球,精靈球,モンスターボール
5,Safari Ball,狩猎球,狩獵球,サファリボール
6,Net Ball,捕网球,捕網球,ネットボール
7,Dive Ball,潜水球,潛水球,ダイブボール
8,Nest Ball,巢穴球,巢穴球,ネストボール
9,Repeat Ball,重复球,重複球,リピートボール
10,Timer Ball,计时球,計時球,タイマーボール
11,Luxury Ball,豪华球,豪華球,ゴージャスボール
12,Premier Ball,纪念球,紀念球,プレミアボール
13,Dusk Ball,黑暗球,黑暗球,ダークボール
14,Heal Ball,治愈球,治癒球,ヒールボール
15,Quick Ball,先机球,先機球,クイックボール
16,Cherish Ball,贵重球,貴重球,プレシャスボール
17,Potion,伤药,傷藥,キズぐすり
18,Antidote,解毒药,解毒藥,どくけし
19,Burn Heal,灼伤药,灼傷藥,やけどなおし
20,Ice Heal,解冻药,解凍藥,こおりなおし
21,Awakening,解眠药,解眠藥,ねむけざまし
22,Paralyze Heal,解麻药,解麻藥,まひなおし
23,Full Restore,全复药,全復藥,かいふくのくすり
24,Max Potion,全满药,全滿藥,まんたんのくすり
25,Hyper Potion,厉害伤药,厲害傷藥,すごいキズぐすり
26,Super Potion,好伤药,好傷藥,いいキズぐすり
27,Full Heal,万灵药,萬靈藥,なんでもなおし
28,Revive,活力碎片,活力碎片,げんきのかけら
29,Max Revive,活力块,活力塊,げんきのかたまり
30,Fresh Water,美味之水,美味之水,おいしいみず
31,Soda Pop,劲爽汽水,勁爽汽水,サイコソーダ
32,Lemonade,果汁牛奶,果汁牛奶,ミックスオレ
33,Moomoo Milk,哞哞鲜奶,哞哞鮮奶,モーモーミルク
34,Energy Powder,元气粉,元氣粉,ちからのこな
35,Energy Root,元气根,元氣根,ちからのねっこ
36,Heal Powder,万能粉,萬能粉,ばんのうごな
37,Revival Herb,复活草,復活草,ふっかつそう
38,Ether,ＰＰ单项小补剂,ＰＰ單項小補劑,ピーピーエイド
39,Max Ether,ＰＰ单项全补剂,ＰＰ單項全補劑,ピーピーリカバー
40,Elixir,ＰＰ多项小补剂,ＰＰ多項小補劑,ピーピーエイダー
41,Max Elixir,ＰＰ多项全补剂,ＰＰ多項全補劑,ピーピーマックス
42,Lava Cookie,釜炎仙贝,釜炎仙貝,フエンせんべい
43,Berry Juice,树果汁,樹果汁,きのみジュース
44,Sacred Ash,圣灰,聖灰,せいなるはい
45,HP Up,ＨＰ增强剂,ＨＰ增強劑,マックスアップ
46,Protein,攻击增强剂,攻擊增強劑,タウリン
47,Iron,防御增强剂,防禦增強劑,ブロムヘキシン
48,Carbos,速度增强剂,速度增強劑,インドメタシン
49,Calcium,特攻增强剂,特攻增強劑,リゾチウム
50,Rare Candy,神奇糖果,神奇糖果,ふしぎなアメ
51,PP Up,ＰＰ提升剂,ＰＰ提升劑,ポイントアップ
52,Zinc,特防增强剂,特防增強劑,キトサン
53,PP Max,ＰＰ极限提升剂,ＰＰ極限提升劑,ポイントマックス
54,Old Gateau,森之羊羹,森之羊羹,もりのヨウカン
55,Guard Spec.,能力防守,能力防守,エフェクトガード
56,Dire Hit,要害攻击,要害攻擊,クリティカット
57,X Attack,力量强化,力量強化,プラスパワー
58,X Defense,防御强化,防禦強化,ディフェンダー
59,X Speed,速度强化,速度強化,スピーダー
60,X Accuracy,命中强化,命中強化,ヨクアタール
61,X Sp. Atk,特攻强化,特攻強化,スペシャルアップ
62,X Sp. Def,特防强化,特防強化,スペシャルガード
63,Poké Doll,皮皮玩偶,皮皮玩偶,ピッピにんぎょう
64,Fluffy Tail,向尾喵的尾巴,向尾喵的尾巴,エネコのシッポ
65,Blue Flute,蓝色玻璃哨,藍色玻璃哨,あおいビードロ
66,Yellow Flute,黄色玻璃哨,黃色玻璃哨,きいろビードロ
67,Red Flute,红色玻璃哨,紅色玻璃哨,あかいビードロ
68,Black Flute,黑色玻璃哨,黑色玻璃哨,くろいビードロ
69,White Flute,白色玻璃哨,白色玻璃哨,しろいビードロ
70,Shoal Salt,浅滩海盐,淺灘海鹽,あさせのしお
71,Shoal Shell,浅滩贝壳,淺灘貝殼,あさせのかいがら
72,Red Shard,红色碎片,紅色碎片,あかいかけら
73,Blue Shard,蓝色碎片,藍色碎片,あおいかけら
74,Yellow Shard,黄色碎片,黃色碎片,きいろいかけら
75,Green Shard,绿色碎片,綠色碎片,みどりのかけら
76,Super Repel,白银喷雾,白銀噴霧,シルバースプレー
77,Max Repel,黄金喷雾,黃金噴霧,ゴールドスプレー
78,Escape Rope,离洞绳,離洞繩,あなぬけのヒモ
79,Repel,除虫喷雾,除蟲噴霧,むしよけスプレー
80,Sun Stone,日之石,日之石,たいようのいし
81,Moon Stone,月之石,月之石,つきのいし
82,Fire Stone,火之石,火之石,ほのおのいし
83,Thunder Stone,雷之石,雷之石,かみなりのいし
84,Water Stone,水之石,水之石,みずのいし
85,Leaf Stone,叶之石,葉之石,リーフのいし
86,Tiny Mushroom,小蘑菇,小蘑菇,ちいさなキノコ
87,Big Mushroom,大蘑菇,大蘑菇,おおきなキノコ
88,Pearl,珍珠,珍珠,しんじゅ
89,Big Pearl,大珍珠,大珍珠,おおきなしんじゅ
90,Stardust,星星沙子,星星沙子,ほしのすな
91,Star Piece,星星碎片,星星碎片,ほしのかけら
92,Nugget,金珠,金珠,きんのたま
93,Heart Scale,心之鳞片,心之鱗片,ハートのウロコ
94,Honey,甜甜蜜,甜甜蜜,あまいミツ
95,Growth Mulch,速速肥,速速肥,すくすくこやし
96,Damp Mulch,湿湿肥,濕濕肥,じめじめこやし
97,Stable Mulch,久久肥,久久肥,ながながこやし
98,Gooey Mulch,粘粘肥,黏黏肥,ねばねばこやし
99,Root Fossil,根状化石,根狀化石,ねっこのカセキ
100,Claw Fossil,爪子化石,爪子化石,ツメのカセキ
101,Helix Fossil,贝壳化石,貝殼化石,かいのカセキ
102,Dome Fossil,甲壳化石,甲殼化石,こうらのカセキ
103,Old Amber,秘密琥珀,秘密琥珀,ひみつのコハク
104,Armor Fossil,盾甲化石,盾甲化石,たてのカセキ
105,Skull Fossil,头盖化石,頭蓋化石,ずがいのカセキ
106,Rare Bone,贵重骨头,貴重骨頭,きちょうなホネ
107,Shiny Stone,光之石,光之石,ひかりのいし
108,Dusk Stone,暗之石,暗之石,やみのいし
109,Dawn Stone,觉醒之石,覺醒之石,めざめいし
110,Oval Stone,浑圆之石,渾圓之石,まんまるいし
111,Odd Keystone,楔石,楔石,かなめいし
112,Adamant Orb,金刚宝珠,金剛寶珠,こんごうだま
113,Lustrous Orb,白玉宝珠,白玉寶珠,しらたま
126,Cheri Berry,樱子果,櫻子果,クラボのみ
127,Chesto Berry,零余果,零餘果,カゴのみ
128,Pecha Berry,桃桃果,桃桃果,モモンのみ
129,Rawst Berry,莓莓果,莓莓果,チーゴのみ
130,Aspear Berry,利木果,利木果,ナナシのみ
131,Leppa Berry,苹野果,蘋野果,ヒメリのみ
132,Oran Berry,橙橙果,橙橙果,オレンのみ
133,Persim Berry,柿仔果,柿仔果,キーのみ
134,Lum Berry,木子果,木子果,ラムのみ
135,Sitrus Berry,文柚果,文柚果,オボンのみ
136,Figy Berry,勿花果,勿花果,フィラのみ
137,Wiki Berry,异奇果,異奇果,ウイのみ
138,Mago Berry,芒芒果,芒芒果,マゴのみ
139,Aguav Berry,乐芭果,樂芭果,バンジのみ
140,Iapapa Berry,芭亚果,芭亞果,イアのみ
141,Razz Berry,蔓莓果,蔓莓果,ズリのみ
142,Bluk Berry,墨莓果,墨莓果,ブリーのみ
143,Nanab Berry,蕉香果,蕉香果,ナナのみ
144,Wepear Berry,西梨果,西梨果,セシナのみ
145,Pinap Berry,凰梨果,凰梨果,パイルのみ
146,Pomeg Berry,榴石果,榴石果,ザロクのみ
147,Kelpsy Berry,藻根果,藻根果,ネコブのみ
148,Qualot Berry,比巴果,比巴果,タポルのみ
149,Hondew Berry,哈密果,哈密果,ロメのみ
150,Grepa Berry,萄葡果,萄葡果,ウブのみ
151,Tamato Berry,茄番果,茄番果,マトマのみ
152,Cornn Berry,玉黍果,玉黍果,モコシのみ
153,Magost Berry,岳竹果,岳竹果,ゴスのみ
154,Rabuta Berry,茸丹果,茸丹果,ラブタのみ
155,Nomel Berry,檬柠果,檬檸果,ノメルのみ
156,Spelon Berry,刺角果,刺角果,ノワキのみ
157,Pamtre Berry,椰木果,椰木果,シーヤのみ
158,Watmel Berry,瓜西果,瓜西果,カイスのみ
159,Durin Berry,金枕果,金枕果,ドリのみ
160,Belue Berry,靛莓果,靛莓果,ベリブのみ
161,Occa Berry,巧可果,巧可果,オッカのみ
162,Passho Berry,千香果,千香果,イトケのみ
163,Wacan Berry,烛木果,燭木果,ソクノのみ
164,Rindo Berry,罗子果,羅子果,リンドのみ
165,Yache Berry,番荔果,番荔果,ヤチェのみ
166,Chople Berry,莲蒲果,蓮蒲果,ヨプのみ
167,Kebia Berry,通通果,通通果,ビアーのみ
168,Shuca Berry,腰木果,腰木果,シュカのみ
169,Coba Berry,棱瓜果,稜瓜果,バコウのみ
170,Payapa Berry,福禄果,福祿果,ウタンのみ
171,Tanga Berry,扁樱果,扁櫻果,タンガのみ
172,Charti Berry,草蚕果,草蠶果,ヨロギのみ
173,Kasib Berry,佛柑果,佛柑果,カシブのみ
174,Haban Berry,莓榴果,莓榴果,ハバンのみ
175,Colbur Berry,刺耳果,刺耳果,ナモのみ
176,Babiri Berry,霹霹果,霹霹果,リリバのみ
177,Chilan Berry,灯浆果,燈漿果,ホズのみ
178,Liechi Berry,枝荔果,枝荔果,チイラのみ
179,Ganlon Berry,龙睛果,龍睛果,リュガのみ
180,Salac Berry,沙鳞果,沙鱗果,カムラのみ
181,Petaya Berry,龙火果,龍火果,ヤタピのみ
182,Apicot Berry,杏仔果,杏仔果,ズアのみ
183,Lansat Berry,兰萨果,蘭薩果,サンのみ
184,Starf Berry,星桃果,星桃果,スターのみ
185,Enigma Berry,谜芝果,謎芝果,ナゾのみ
186,Micle Berry,奇秘果,奇秘果,ミクルのみ
187,Custap Berry,释陀果,釋陀果,イバンのみ
188,Jaboca Berry,嘉珍果,嘉珍果,ジャポのみ
189,Rowap Berry,雾莲果,霧蓮果,レンブのみ
190,Bright Powder,光粉,光粉,ひかりのこな
191,White Herb,白色香草,白色香草,しろいハーブ
192,Macho Brace,强制锻炼器,強制鍛鍊器,きょうせいギプス
193,Exp. Share,学习装置,學習裝置,がくしゅうそうち
194,Quick Claw,先制之爪,先制之爪,せんせいのツメ
195,Soothe Bell,安抚之铃,安撫之鈴,やすらぎのすず
196,Mental Herb,心灵香草,心靈香草,メンタルハーブ
197,Choice Band,讲究头带,講究頭帶,こだわりハチマキ
198,King’s Rock,王者之证,王者之證,おうじゃのしるし
199,Silver Powder,银粉,銀粉,ぎんのこな
200,Amulet Coin,护符金币,護符金幣,おまもりこばん
201,Cleanse Tag,洁净之符,潔淨之符,きよめのおふだ
202,Soul Dew,心之水滴,心之水滴,こころのしずく
203,Deep Sea Tooth,深海之牙,深海之牙,しんかいのキバ
204,Deep Sea Scale,深海鳞片,深海鱗片,しんかいのウロコ
205,Smoke Ball,烟雾球,煙霧球,けむりだま
206,Everstone,不变之石,不變之石,かわらずのいし
207,Focus Band,气势头带,氣勢頭帶,きあいのハチマキ
208,Lucky Egg,幸运蛋,幸運蛋,しあわせタマゴ
209,Scope Lens,焦点镜,焦點鏡,ピントレンズ
210,Metal Coat,金属膜,金屬膜,メタルコート
211,Leftovers,吃剩的东西,吃剩的東西,たべのこし
212,Dragon Scale,龙之鳞片,龍之鱗片,りゅうのウロコ
213,Light Ball,电气球,電氣球,でんきだま
214,Soft Sand,柔软沙子,柔軟沙子,やわらかいすな
215,Hard Stone,硬石头,硬石頭,かたいいし
216,Miracle Seed,奇迹种子,奇跡種子,きせきのタネ
217,Black Glasses,黑色眼镜,黑色眼鏡,くろいメガネ
218,Black Belt,黑带,黑帶,くろおび
219,Magnet,磁铁,磁鐵,じしゃく
220,Mystic Water,神秘水滴,神秘水滴,しんぴのしずく
221,Sharp Beak,锐利鸟嘴,銳利鳥嘴,するどいくちばし
222,Poison Barb,毒针,毒針,どくバリ
223,Never-Melt Ice,不融冰,不融冰,とけないこおり
224,Spell Tag,诅咒之符,詛咒之符,のろいのおふだ
225,Twisted Spoon,弯曲的汤匙,彎曲的湯匙,まがったスプーン
226,Charcoal,木炭,木炭,もくたん
227,Dragon Fang,龙之牙,龍之牙,りゅうのキバ
228,Silk Scarf,丝绸围巾,絲綢圍巾,シルクのスカーフ
229,Upgrade,升级数据,升級資料,アップグレード
230,Shell Bell,贝壳之铃,貝殼之鈴,かいがらのすず
231,Sea Incense,海潮薰香,海潮薰香,うしおのおこう
232,Lax Incense,悠闲薰香,悠閒薰香,のんきのおこう
233,Lucky Punch,吉利拳,吉利拳,ラッキーパンチ
234,Metal Powder,金属粉,金屬粉,メタルパウダー
235,Thick Club,粗骨头,粗骨頭,ふといホネ
236,Leek,大葱,大蔥,ながねぎ
237,Red Scarf,红色头巾,紅色頭巾,あかいバンダナ
238,Blue Scarf,蓝色头巾,藍色頭巾,あおいバンダナ
239,Pink Scarf,粉红头巾,粉紅頭巾,ピンクのバンダナ
240,Green Scarf,绿色头巾,綠色頭巾,みどりのバンダナ
241,Yellow Scarf,黄色头巾,黃色頭巾,きいろのバンダナ
242,Wide Lens,广角镜,廣角鏡,こうかくレンズ
243,Muscle Band,力量头带,力量頭帶,ちからのハチマキ
244,Wise Glasses,博识眼镜,博識眼鏡,ものしりメガネ
245,Expert Belt,达人带,達人帶,たつじんのおび
246,Light Clay,光之黏土,光之黏土,ひかりのねんど
247,Life Orb,生命宝珠,生命寶珠,いのちのたま
248,Power Herb,强力香草,強力香草,パワフルハーブ
249,Toxic Orb,剧毒宝珠,劇毒寶珠,どくどくだま
250,Flame Orb,火焰宝珠,火焰寶珠,かえんだま
251,Quick Powder,速度粉,速度粉,スピードパウダー
252,Focus Sash,气势披带,氣勢披帶,きあいのタスキ
253,Zoom Lens,对焦镜,對焦鏡,フォーカスレンズ
254,Metronome,节拍器,節拍器,メトロノーム
255,Iron Ball,黑色铁球,黑色鐵球,くろいてっきゅう
256,Lagging Tail,后攻之尾,後攻之尾,こうこうのしっぽ
257,Destiny Knot,红线,紅線,あかいいと
258,Black Sludge,黑色污泥,黑色污泥,くろいヘドロ
259,Icy Rock,冰冷岩石,冰冷岩石,つめたいいわ
260,Smooth Rock,沙沙岩石,沙沙岩石,さらさらいわ
261,Heat Rock,炽热岩石,熾熱岩石,あついいわ
262,Damp Rock,潮湿岩石,潮濕岩石,しめったいわ
263,Grip Claw,紧缠钩爪,緊纏鉤爪,ねばりのかぎづめ
264,Choice Scarf,讲究围巾,講究圍巾,こだわりスカーフ
265,Sticky Barb,附着针,附著針,くっつきバリ
266,Power Bracer,力量护腕,力量護腕,パワーリスト
267,Power Belt,力量腰带,力量腰帶,パワーベルト
268,Power Lens,力量镜,力量鏡,パワーレンズ
269,Power Band,力量束带,力量束帶,パワーバンド
270,Power Anklet,力量护踝,力量護踝,パワーアンクル
271,Power Weight,力量负重,力量負重,パワーウエイト
272,Shed Shell,美丽空壳,美麗空殼,きれいなぬけがら
273,Big Root,大根茎,大根莖,おおきなねっこ
274,Choice Specs,讲究眼镜,講究眼鏡,こだわりメガネ
275,Flame Plate,火球石板,火球石板,ひのたまプレート
276,Splash Plate,水滴石板,水滴石板,しずくプレート
277,Zap Plate,雷电石板,雷電石板,いかずちプレート
278,Meadow Plate,碧绿石板,碧綠石板,みどりのプレート
279,Icicle Plate,冰柱石板,冰柱石板,つららのプレート
280,Fist Plate,拳头石板,拳頭石板,こぶしのプレート
281,Toxic Plate,剧毒石板,劇毒石板,もうどくプレート
282,Earth Plate,大地石板,大地石板,だいちのプレート
283,Sky Plate,蓝天石板,藍天石板,あおぞらプレート
284,Mind Plate,神奇石板,神奇石板,ふしぎのプレート
285,Insect Plate,玉虫石板,玉蟲石板,たまむしプレート
286,Stone Plate,岩石石板,岩石石板,がんせきプレート
287,Spooky Plate,妖怪石板,妖怪石板,もののけプレート
288,Draco Plate,龙之石板,龍之石板,りゅうのプレート
289,Dread Plate,恶颜石板,惡顏石板,こわもてプレート
290,Iron Plate,钢铁石板,鋼鐵石板,こうてつプレート
291,Odd Incense,奇异薰香,奇異薰香,あやしいおこう
292,Rock Incense,岩石薰香,岩石薰香,がんせきおこう
293,Full Incense,饱腹薰香,飽腹薰香,まんぷくおこう
294,Wave Incense,涟漪薰香,漣漪薰香,さざなみのおこう
295,Rose Incense,花朵薰香,花朵薰香,おはなのおこう
296,Luck Incense,幸运薰香,幸運薰香,こううんのおこう
297,Pure Incense,洁净薰香,潔淨薰香,きよめのおこう
298,Protector,护具,護具,プロテクター
299,Electirizer,电力增幅器,電力增幅器,エレキブースター
300,Magmarizer,熔岩增幅器,熔岩增幅器,マグマブースター
301,Dubious Disc,可疑补丁,可疑修正檔,あやしいパッチ
302,Reaper Cloth,灵界之布,靈界之布,れいかいのぬの
303,Razor Claw,锐利之爪,銳利之爪,するどいツメ
304,Razor Fang,锐利之牙,銳利之牙,するどいキバ
405,Explorer Kit,探险套装,探險組合,たんけんセット
406,Loot Sack,宝物袋,寶物袋,たからぶくろ
407,Rule Book,规则书,規則書,ルールブック
408,Poké Radar,宝可追踪,寶可追蹤,ポケトレ
409,Point Card,点数卡,點數卡,ポイントカード
410,Journal,冒险笔记,冒險筆記,ぼうけんノート
411,Seal Case,贴纸盒,貼紙盒,シールいれ
412,Fashion Case,饰品盒,飾品盒,アクセサリーいれ
413,Seal Bag,贴纸袋,貼紙袋,シールぶくろ
414,Pal Pad,朋友手册,朋友手冊,ともだちてちょう
415,Works Key,发电厂钥匙,發電廠鑰匙,はつでんしょキー
416,Old Charm,古代护符,古代護符,こだいのおまもり
417,Galactic Key,银河队钥匙,銀河隊鑰匙,ギンガだんのカギ
418,Red Chain,红色锁链,紅色鎖鏈,あかいくさり
419,Town Map,城镇地图,城鎮地圖,タウンマップ
420,Vs. Seeker,对战搜寻器,對戰搜尋器,バトルサーチャー
421,Coin Case,代币盒,代幣盒,コインケース
422,Old Rod,破旧钓竿,破舊釣竿,ボロのつりざお
423,Good Rod,好钓竿,好釣竿,いいつりざお
424,Super Rod,厉害钓竿,厲害釣竿,すごいつりざお
425,Sprayduck,可达鸭喷壶,可達鴨噴壺,コダックじょうろ
426,Poffin Case,宝芬盒,寶芬盒,ポフィンケース
428,Suite Key,房间钥匙,房間鑰匙,ルームキー
429,Oak’s Letter,大木的信,大木的信,オーキドのてがみ
430,Lunar Wing,新月之羽,新月之羽,みかづきのはね
431,Member Card,会员卡,會員卡,メンバーズカード
432,Azure Flute,天界之笛,天界之笛,てんかいのふえ
433,S.S. Ticket,船票,船票,ふねのチケット
434,Contest Pass,华丽大赛参加证,華麗大賽參加證,コンテストパス
435,Magma Stone,火山镇石,火山鎮石,かざんのおきいし
436,Parcel,包裹,包裹,おとどけもの
437,Coupon 1,兑换券１,兌換券１,ひきかえけん１
438,Coupon 2,兑换券２,兌換券２,ひきかえけん２
439,Coupon 3,兑换券３,兌換券３,ひきかえけん３
440,Storage Key,仓库钥匙,倉庫鑰匙,そうこのカギ
441,Secret Potion,秘传之药,秘傳之藥,ひでんのくすり
442,Griseous Orb,白金宝珠,白金寶珠,はっきんだま
443,Vs. Recorder,对战记录器,對戰記錄器,バトルレコーダー
444,Gracidea,葛拉西蒂亚花,葛拉西蒂亞花,グラシデアのはな
445,Secret Key,秘密钥匙,秘密鑰匙,ひみつのカギ
446,Apricorn Box,球果盒,球果盒,ぼんぐりケース
447,Berry Pots,树果种植盆,樹果種植盆,きのみプランター
448,Squirt Bottle,杰尼龟喷壶,傑尼龜噴壺,ゼニガメじょうろ
449,Lure Ball,诱饵球,誘餌球,ルアーボール
450,Level Ball,等级球,等級球,レベルボール
451,Moon Ball,月亮球,月亮球,ムーンボール
452,Heavy Ball,沉重球,沉重球,ヘビーボール
453,Fast Ball,速度球,速度球,スピードボール
454,Friend Ball,友友球,友友球,フレンドボール
455,Love Ball,甜蜜球,甜蜜球,ラブラブボール
456,Park Ball,公园球,公園球,パークボール
457,Sport Ball,竞赛球,競賽球,コンペボール
458,Red Apricorn,红球果,紅球果,あかぼんぐり
459,Blue Apricorn,蓝球果,藍球果,あおぼんぐり
460,Yellow Apricorn,黄球果,黃球果,きぼんぐり
461,Green Apricorn,绿球果,綠球果,みどぼんぐり
462,Pink Apricorn,粉球果,粉球果,ももぼんぐり
463,White Apricorn,白球果,白球果,しろぼんぐり
464,Black Apricorn,黑球果,黑球果,くろぼんぐり
465,Dowsing Machine,探宝器,探寶器,ダウジングマシン
466,Rage Candy Bar,愤怒馒头,憤怒饅頭,いかりまんじゅう
467,Red Orb,朱红色宝珠,朱紅色寶珠,べにいろのたま
468,Blue Orb,靛蓝色宝珠,靛藍色寶珠,あいいろのたま
469,Jade Orb,草绿色宝珠,草綠色寶珠,もえぎいろのたま
470,Enigma Stone,谜之水晶,謎之水晶,なぞのすいしょう
471,Unown Report,未知图腾笔记,未知圖騰筆記,アンノーンノート
472,Blue Card,蓝卡,藍卡,ブルーカード
473,Slowpoke Tail,美味尾巴,美味尾巴,おいしいシッポ
474,Clear Bell,透明铃铛,透明鈴鐺,とうめいなスズ
475,Card Key,钥匙卡,鑰匙卡,カードキー
476,Basement Key,地下钥匙,地下鑰匙,ちかのかぎ
477,Red Scale,红色鳞片,紅色鱗片,あかいウロコ
478,Lost Item,遗失物,遺失物,おとしもの
479,Pass,磁浮列车自由票,磁浮列車自由票,リニアパス
480,Machine Part,机械零件,機械零件,きかいのぶひん
